Election_Year,Region,Ethnic_Group,Language,Education_Level,Population_Density,GDP_per_Capita,Candidate_Origin_Region,Voted_For,Election_Winner_Party
2004,Central,Lomwe,Chichewa,Primary,179,947,Southern,DPP,UDF
2004,Central,Lambya/Nyiha,Chichewa,Secondary,140,508,Central,MCP,UDF
2004,Central,Yao,Chichewa,Primary,374,744,Southern,AFORD,UDF
2004,Central,Tumbuka,Chichewa,Secondary,127,537,Southern,AFORD,UDF
2004,Southern,Lomwe,Chilomwe,Primary,394,1035,Central,DPP,UDF
2004,Central,Tonga,Chichewa,Primary,192,753,Central,Other,UDF
2004,Central,Tumbuka,English,Primary,174,810,Central,UDF,UDF
2004,Central,Tonga,Chichewa,Secondary,365,672,Central,DPP,UDF
2004,Central,Tonga,Chichewa,Primary,115,644,Central,UDF,UDF
2004,Southern,Nyanja,Chilomwe,Primary,212,843,Northern,DPP,UDF
2004,Central,Chewa,Chiyao,Primary,288,582,Southern,MCP,UDF
2004,Northern,Yao,Chitumbuka,Secondary,170,696,Central,MCP,UDF
2004,Central,Ngonde,Chichewa,Primary,212,831,Northern,MCP,UDF
2004,Southern,Ngoni,Chilomwe,Primary,225,697,Southern,MCP,UDF
2004,Central,Ngoni,Chichewa,No formal,173,480,Central,PP,UDF
2004,Southern,Yao,Chichewa,Primary,435,485,Southern,UDF,UDF
2004,Southern,Lambya/Nyiha,English,No formal,196,726,Central,DPP,UDF
2004,Northern,Sena,English,Primary,209,100,Central,Other,UDF
2004,Central,Nyanja,Chichewa,Secondary,181,975,Central,AFORD,UDF
2004,Central,Yao,English,Primary,129,634,Northern,UDF,UDF
2004,Central,Lambya/Nyiha,Chichewa,Secondary,199,464,Central,MCP,UDF
2004,Northern,Chewa,Chitumbuka,Primary,110,791,Central,Independent,UDF
2004,Southern,Ngoni,Chichewa,No formal,303,1168,Northern,DPP,UDF
2004,Northern,Chewa,Chitumbuka,Secondary,189,483,Central,UDF,UDF
2004,Central,Lambya/Nyiha,English,Primary,126,635,Central,Independent,UDF
2004,Northern,Yao,Chichewa,Primary,135,347,Central,UDF,UDF
2004,Central,Tumbuka,Chichewa,Primary,222,718,Central,UDF,UDF
2004,Central,Sena,Chichewa,Primary,54,1081,Central,UDF,UDF
2004,Central,Lomwe,Chichewa,Secondary,130,583,Southern,DPP,UDF
2004,Southern,Sena,Chilomwe,Primary,263,508,Northern,UDF,UDF
2004,Northern,Sena,Chitumbuka,Secondary,224,401,Southern,MCP,UDF
2004,Central,Ngonde,English,No formal,242,571,Northern,DPP,UDF
2004,Southern,Chewa,Chichewa,Tertiary,412,757,Central,PP,UDF
2004,Northern,Yao,Chitumbuka,No formal,151,449,Central,MCP,UDF
2004,Central,Lomwe,Chichewa,Secondary,243,666,Central,UDF,UDF
2004,Northern,Tumbuka,Chitumbuka,Tertiary,175,497,Central,UDF,UDF
2004,Southern,Ngonde,Chilomwe,Secondary,377,862,Central,Independent,UDF
2004,Central,Ngoni,Chiyao,Primary,117,352,Northern,MCP,UDF
2004,Central,Ngoni,Chichewa,Primary,177,451,Central,PP,UDF
2004,Southern,Tonga,Chilomwe,Primary,288,649,Northern,UDF,UDF
2004,Central,Tumbuka,Chichewa,Primary,160,651,Central,DPP,UDF
2004,Central,Lambya/Nyiha,Chichewa,Tertiary,117,729,Southern,AFORD,UDF
2004,Northern,Tumbuka,Chitumbuka,Secondary,106,539,Northern,MCP,UDF
2004,Central,Ngonde,English,Secondary,252,620,Central,MCP,UDF
2004,Central,Ngonde,Chichewa,Primary,209,864,Central,PP,UDF
2004,Central,Ngoni,Chichewa,Primary,199,873,Central,AFORD,UDF
2004,Central,Sena,Chiyao,Secondary,313,367,Northern,UDF,UDF
2004,Central,Lambya/Nyiha,Chichewa,Primary,290,756,Southern,UDF,UDF
2004,Central,Tonga,Chichewa,Primary,205,586,Central,MCP,UDF
2004,Northern,Lambya/Nyiha,Chitumbuka,Secondary,20,246,Central,AFORD,UDF
2004,Southern,Ngonde,Chilomwe,No formal,292,1054,Central,Other,UDF
2004,Northern,Tumbuka,English,Primary,127,598,Central,MCP,UDF
2004,Northern,Ngoni,Chitumbuka,Secondary,187,328,Central,UDF,UDF
2004,Southern,Sena,Chilomwe,No formal,326,987,Northern,DPP,UDF
2004,Southern,Chewa,Chichewa,Primary,304,853,Northern,Other,UDF
2004,Southern,Tonga,Chilomwe,Secondary,275,511,Southern,UDF,UDF
2004,Southern,Lambya/Nyiha,English,Secondary,354,863,Southern,DPP,UDF
2004,Central,Ngonde,Chichewa,Primary,129,1025,Southern,MCP,UDF
2004,Central,Ngonde,Chiyao,No formal,171,454,Northern,MCP,UDF
2004,Southern,Nyanja,Chilomwe,Secondary,298,968,Central,DPP,UDF
2004,Northern,Sena,English,Primary,295,736,Southern,UDF,UDF
2004,Central,Lomwe,Chichewa,Primary,334,661,Northern,Independent,UDF
2004,Northern,Chewa,Chitumbuka,Secondary,121,605,Central,UDF,UDF
2004,Central,Tumbuka,Chichewa,Tertiary,288,619,Central,Independent,UDF
2004,Southern,Yao,Chichewa,Primary,301,1100,Southern,UDF,UDF
2004,Northern,Chewa,Chitumbuka,Secondary,126,239,Central,Independent,UDF
2004,Central,Yao,Chichewa,No formal,294,835,Southern,PP,UDF
2004,Central,Nyanja,Chichewa,Primary,162,603,Central,UDF,UDF
2004,Central,Lomwe,Chichewa,Primary,241,624,Southern,UDF,UDF
2004,Southern,Lambya/Nyiha,Chilomwe,Primary,332,1020,Central,DPP,UDF
2004,Northern,Chewa,Chitumbuka,Primary,164,460,Central,MCP,UDF
2004,Northern,Lambya/Nyiha,Chichewa,Tertiary,132,484,Northern,Other,UDF
2004,Southern,Chewa,Chichewa,Secondary,303,963,Central,DPP,UDF
2004,Central,Yao,Chichewa,Tertiary,252,394,Central,Other,UDF
2004,Central,Sena,Chichewa,Secondary,148,631,Northern,AFORD,UDF
2004,Southern,Lomwe,Chichewa,Primary,290,1130,Southern,UDF,UDF
2004,Central,Ngonde,Chichewa,Secondary,192,441,Southern,MCP,UDF
2004,Central,Sena,Chichewa,Primary,210,927,Southern,Other,UDF
